"wavelength","Geothite","hematite","gypsum","calcite","kaolinite_114","kaolinite_113","montmorillinite_126","monmorillinite_127","illite_121","illite_120","kaol_smect_124","kaol_smect_125"
406,0.0177,0.0205,0.8915903304,0.8547771207,0.5366,0.6361001036,0.4813,0.5598440316,0.4511,0.2122808567,0.2432997071,0.2354653356
407,0.0177,0.0205,0.8926341883,0.8562537366,0.5401,0.6361395791,0.4839,0.5604625861,0.4522,0.2131362652,0.2450559503,0.2365533534
408,0.0177,0.0204,0.8929285378,0.8625434488,0.5457,0.6364925448,0.4859,0.5611657185,0.4535,0.2137261937,0.2468673734,0.2377390789
409,0.0177,0.0203,0.8928028991,0.8687207601,0.5506,0.6375948128,0.4886,0.5627024701,0.4548,0.214809335,0.248697062,0.2391081272
410,0.0178,0.0203,0.8928615318,0.8690263342,0.5516,0.6392998937,0.4928,0.5657705794,0.4562,0.2170128034,0.2505115535,0.2407096055
411,0.0178,0.0204,0.8935326292,0.8671671801,0.5508,0.6414608593,0.4969,0.5683081152,0.4576,0.2191056731,0.2522365612,0.2423231499
412,0.0178,0.0203,0.8949448846,0.8687223196,0.5512,0.6438733226,0.4986,0.5680346314,0.4588,0.2196944712,0.2538075879,0.2437039443
413,0.0178,0.0203,0.8959311745,0.872168846,0.5528,0.6460232411,0.4997,0.5665071753,0.46,0.2198852366,0.2552873233,0.2449649855
414,0.0179,0.0203,0.8955746136,0.8747605639,0.5549,0.6475305261,0.5021,0.5657347345,0.4612,0.2209228152,0.2567640369,0.2462554633
415,0.018,0.0204,0.8944917024,0.8763587842,0.5575,0.6485472373,0.5054,0.5658506159,0.4623,0.2224827089,0.2582875307,0.2475363862
416,0.018,0.0206,0.8935049778,0.8771784919,0.5609,0.6492973083,0.5086,0.5667337856,0.4635,0.2240290136,0.259902214,0.2487434725
417,0.0181,0.0208,0.8931220267,0.8775656206,0.5647,0.6499750027,0.5113,0.5681748819,0.4645,0.2252426458,0.2616135658,0.2498515715
418,0.0182,0.0209,0.8931477415,0.8781582674,0.5681,0.6507083858,0.5137,0.5697674705,0.4656,0.226288276,0.2633402072,0.2509228388
419,0.0182,0.0208,0.8932926648,0.8796318939,0.5703,0.6516163887,0.5162,0.5710791889,0.4667,0.2273956086,0.2649891776,0.2520311278
420,0.0183,0.0206,0.8934220352,0.882202587,0.5711,0.652780375,0.519,0.5718338155,0.4678,0.2287049525,0.2665037641,0.2532258689
421,0.0184,0.0203,0.8937462378,0.8850615075,0.5717,0.6541978898,0.5219,0.5721035007,0.4689,0.2301571646,0.2679081274,0.2545020015
422,0.0184,0.0203,0.8945213091,0.8872632133,0.5737,0.6558548239,0.5248,0.57200769,0.4698,0.2316661874,0.2692373677,0.2558469516
423,0.0185,0.0205,0.8957808708,0.8883024247,0.5778,0.6576706954,0.5275,0.5716994113,0.4707,0.2331614735,0.2705259447,0.2572183269
424,0.0186,0.0207,0.8970623071,0.8886559234,0.5824,0.6594169359,0.5299,0.5714066191,0.4715,0.2346070792,0.2718068883,0.2585072074
425,0.0187,0.0209,0.8978368969,0.8889329243,0.5861,0.6608455555,0.5319,0.5713668763,0.4723,0.2359719376,0.2731130033,0.2595962042
426,0.0188,0.0208,0.8977961474,0.8896481792,0.5879,0.6618390641,0.5336,0.5717054435,0.4732,0.2372662047,0.2744702943,0.2604809561
427,0.0189,0.0206,0.8971229239,0.8911056787,0.5889,0.6625711342,0.5352,0.57229702,0.4742,0.2385920099,0.2758895943,0.2614092804
428,0.0191,0.0204,0.8960668817,0.8935787693,0.5905,0.6632544398,0.5372,0.5729825947,0.4752,0.2400636041,0.2773795503,0.262662344
429,0.0192,0.0204,0.8949425433,0.8968899012,0.5934,0.664017995,0.5397,0.5736438016,0.4761,0.2417267,0.2789205453,0.2643576706
430,0.0194,0.0205,0.8942091583,0.8998555148,0.5967,0.6648041574,0.5423,0.5742529607,0.4771,0.243474093,0.2804299026,0.2662476738
431,0.0196,0.0206,0.894343836,0.9011602759,0.5995,0.6655303666,0.5445,0.574794685,0.478,0.24517811,0.281816628,0.2680358854
432,0.0198,0.0208,0.8954583861,0.900409977,0.6012,0.6661856923,0.5461,0.575258443,0.4791,0.2467582545,0.2830353439,0.2695359772
433,0.02,0.0209,0.8968495871,0.8992655655,0.6025,0.6669190209,0.5474,0.5756445367,0.4801,0.2482392871,0.2841424496,0.2708073591
434,0.0202,0.021,0.8977060502,0.8996609613,0.6043,0.6679006567,0.5488,0.5759551277,0.4813,0.2496602445,0.2852080251,0.2719426897
435,0.0204,0.0209,0.8976640227,0.9024481146,0.607,0.6692572251,0.5504,0.5762758719,0.4824,0.2510674706,0.286283036,0.2730343316
436,0.0206,0.0208,0.8973584875,0.9060649587,0.6105,0.6710178974,0.5522,0.5768787124,0.4836,0.2525236121,0.2873758009,0.2741739877
437,0.0208,0.0207,0.8975574011,0.9086268894,0.6145,0.6731977747,0.5543,0.5780594127,0.4846,0.2540932256,0.2884888507,0.2754529552
438,0.0211,0.0205,0.8985703962,0.9091174513,0.6187,0.675624494,0.5566,0.579820048,0.4855,0.2557781177,0.2896210009,0.2768954398
439,0.0213,0.0204,0.8996845251,0.908457143,0.6224,0.6777074351,0.5591,0.581507435,0.4864,0.2574400916,0.2907627772,0.2783759577
440,0.0215,0.0204,0.9000504972,0.9078269073,0.6251,0.6788017875,0.5619,0.5823818817,0.4873,0.258922397,0.2919036571,0.2797491636
441,0.0217,0.0205,0.8992470768,0.9080603166,0.6265,0.678772017,0.5649,0.5821598725,0.4882,0.2601509749,0.2930486454,0.2809529511
442,0.0219,0.0206,0.8978080746,0.9092159144,0.6277,0.6786188531,0.5678,0.5815756821,0.4892,0.2612362619,0.2942373909,0.2821109304
443,0.0221,0.0207,0.8963959651,0.9112468902,0.6296,0.6794936999,0.5704,0.5814996701,0.4903,0.2623133751,0.2955140961,0.2833714452
444,0.0223,0.0207,0.8955543409,0.9140030495,0.6328,0.6818972821,0.5724,0.5824569227,0.4914,0.2634574918,0.2968946763,0.2847990947
445,0.0225,0.0206,0.8955615548,0.917103535,0.6365,0.6848785723,0.5742,0.584202175,0.4926,0.2646100558,0.2983319342,0.2862716321
446,0.0227,0.0205,0.896658671,0.920135894,0.64,0.6872929293,0.5762,0.5863865682,0.4937,0.2656947075,0.29977028,0.2876418985
447,0.0229,0.0204,0.898790018,0.9226060037,0.6429,0.688592988,0.5785,0.5887967714,0.4947,0.2666969135,0.3011853872,0.2888410205
448,0.0231,0.0204,0.9012378674,0.9238375244,0.6453,0.6895639866,0.5807,0.5915218348,0.4957,0.2677400825,0.3026226805,0.2899747903
449,0.0233,0.0203,0.9031961362,0.9231348627,0.6473,0.6911680538,0.5825,0.5946888945,0.4967,0.2689657561,0.3041366816,0.2911723429
450,0.0235,0.0203,0.9041186626,0.9209475711,0.6493,0.6936424939,0.5839,0.5978254819,0.4977,0.2704028223,0.3057095861,0.2925011502
451,0.0236,0.0202,0.9040392031,0.9202801735,0.6513,0.695607431,0.5855,0.5991213315,0.4988,0.2718288236,0.307162222,0.2938911069
452,0.0238,0.0204,0.9031344686,0.9238321552,0.6536,0.6956709498,0.588,0.5969920683,0.4999,0.273021444,0.3083198229,0.2952615722
453,0.0239,0.0205,0.9022469163,0.9275849814,0.6557,0.6945758029,0.5907,0.5940540281,0.501,0.2741109251,0.3092785148,0.2966153175
454,0.024,0.0206,0.9024723859,0.9245653524,0.6571,0.6941763748,0.592,0.594899658,0.502,0.2753925667,0.3102781905,0.2979701027
455,0.0241,0.0205,0.9034729704,0.9181601757,0.6583,0.6948184485,0.5923,0.5989701292,0.5028,0.2767211457,0.3113951674,0.2989910485
456,0.0242,0.0205,0.9041508633,0.9170191433,0.6602,0.6959673928,0.5932,0.6028277422,0.5035,0.2777201882,0.312608089,0.2992425177
457,0.0243,0.0204,0.9043153549,0.9207927326,0.6614,0.6972749852,0.595,0.6048432216,0.5041,0.2783218172,0.3138948096,0.2993975751
458,0.0244,0.0202,0.9042445521,0.9241530203,0.6597,0.6984755981,0.5974,0.6045836409,0.5047,0.2786784872,0.3152240888,0.3006188091
459,0.0244,0.02,0.9034720645,0.9255998929,0.6576,0.6989516844,0.5997,0.6027261103,0.5054,0.2793195877,0.3164679154,0.3023621183
